VRSTAMAT;DAVEK_PROC;EM;IDENT;NAZIV;KOLICINA;PORABA;ZELENA_KOL;ID_DOK;TIP_CENE;SKLADIŠČE;CENA;VREDNOST;CENA2
POL;22;KG;9941758;VULKOPASTA KK S2 (SILON);17,3988;0;0;22006636;EUR;22210;0;0;0
POL;22;KG;9941758;VULKOPASTA KK S2 (SILON);43,497;0;0;22006636;EUR;22210;0;0;0
POL;22;M2;9945619;FLIS/S 6120 790/3,9/162;162;0;0;22006635;EUR;22210;0;0;0
POL;22;M2;9945619;FLIS/S 6120 790/3,9/162;405;405;0;22006635;EUR;22210;0;0;0
POM;22;KG;1000888;VEZIVO LITEX N 3415 M;170,1;0;0;22006634;EUR;22210;1,83;311,28;20220930
POM;22;KG;1000888;VEZIVO LITEX N 3415 M;716,71932;0;0;22006634;EUR;22210;1,83;1311,6;20220930
POM;22;KG;1000888;VEZIVO LITEX N 3415 M;521,883;521,883;0;22006634;EUR;22210;1,83;955,05;20220930
POM;22;KG;1001140;AMONIJAK 25%, 50KG;0,6075;0;0;22006634;EUR;22210;1,205;0,73;20221130
POM;22;KG;1001140;AMONIJAK 25%, 50KG;0,8343;0;0;22006634;EUR;22210;1,205;1,01;20221130
POM;22;KG;1001140;AMONIJAK 25%, 50KG;0,24;0;0;22006634;EUR;22210;1,205;0,29;20221130
POM;22;KG;9925564;COAGULANT TEGO 4720 EVONIK, 50/200KG;0,50058;0;0;22006634;EUR;22210;17,91;8,97;20221213
POM;22;KG;9925564;COAGULANT TEGO 4720 EVONIK, 50/200KG;0,3645;0;0;22006634;EUR;22210;17,91;6,53;20221213
POM;22;KG;9935382;TEGO ANTIFOAM 2290, 50KG;0,6075;0;0;22006634;EUR;22210;9,27;5,63;20220525
POM;22;KG;9935382;TEGO ANTIFOAM 2290, 50KG;0,8343;0;0;22006634;EUR;22210;9,27;7,73;20220525
POM;22;KG;9939500;SOPROPHOR TS10, 200KG;0,8343;0;0;22006634;EUR;22210;8,2;6,84;20221103
POM;22;KG;9939500;SOPROPHOR TS10, 200KG;0,6075;0;0;22006634;EUR;22210;8,2;4,98;20221103
POL;22;KG;9941758;VULKOPASTA KK S2 (SILON);59,73588;0;0;22006634;EUR;22210;0;0;0
POL;22;KG;9941758;VULKOPASTA KK S2 (SILON);43,497;0;0;22006634;EUR;22210;0;0;0
POL;22;M2;9945106;FLIS/S 0120 790/3,9/162;556,2;0;0;22006633;EUR;22210;0;0;0
POL;22;M2;9945106;FLIS/S 0120 790/3,9/162;405;405;0;22006633;EUR;22210;0;0;0
MAT;22;KOS;9927690;KOFIL FK-G4M NK 0,30;6;0;6;22006632;EUR;25410;9,6485;57,89;0
POM;22;M2;9932632;FILTER F 15/200 - TATKO;63;0;63;22006631;EUR;25410;0,66;41,58;0
MAT;22;KOS;9927690;KOFIL FK-G4M NK 0,30;10;0;10;22006630;EUR;25410;9,6485;96,49;0
MAT;22;KOS;9927691;KOFIL FK-G4M NK 0,50;2;2;2;22006629;EUR;25410;23,621;47,24;0
POM;22;KOS;9916808;OKVIR 592X592X94 MM;20;0;20;22006628;EUR;23410;2,28;45,6;0
POM;22;KOS;9916809;OKVIR 287X592X94 MM;2;0;2;22006628;EUR;23410;1,92;3,84;0
POL;22;M2;9928269;FILTER F-07/260 K - KOFIL;0,945;0;0,945;22006628;EUR;23410;0,911;0,86;0
POL;22;M2;9928269;FILTER F-07/260 K - KOFIL;18,9;0;18,9;22006628;EUR;23410;0,911;17,22;0
POM;22;KOS;9927062;LEPILO V SPRAYU 4042448149442 TRAJNO LEP;0,002;0,002;0,002;22006628;EUR;25410;10,85;0,02;0
POM;22;KOS;9927062;LEPILO V SPRAYU 4042448149442 TRAJNO LEP;0,00002;0,00002;0,00002;22006628;EUR;25410;10,85;0;0
POM;22;M2;9929174;MREŽA POCINKANA 12*24*0,80/580MM*75M TAR;0,945;0;0,945;22006628;EUR;25410;1,925;1,82;0
POM;22;M2;9929174;MREŽA POCINKANA 12*24*0,80/580MM*75M TAR;18,9;0;18,9;22006628;EUR;25410;1,925;36,38;0
MAT;22;KOS;9936148;KOFIL FV-G4M 287X592X360/3;4;4;4;22006627;EUR;25410;5,773;23,09;0
MAT;22;KOS;9936148;KOFIL FV-G4M 287X592X360/3;4;4;4;22006627;EUR;25410;5,773;23,09;0
MAT;22;KOS;9936148;KOFIL FV-G4M 287X592X360/3;4;4;4;22006627;EUR;25410;5,773;23,09;0
MAT;22;KOS;9936148;KOFIL FV-G4M 287X592X360/3;4;4;4;22006627;EUR;25410;5,773;23,09;0
MAT;22;KOS;9936148;KOFIL FV-G4M 287X592X360/3;2;2;2;22006627;EUR;25410;5,773;11,55;0
MAT;22;KOS;9936148;KOFIL FV-G4M 287X592X360/3;4;4;4;22006627;EUR;25410;5,773;23,09;0
MAT;22;KOS;9936148;KOFIL FV-G4M 287X592X360/3;4;4;4;22006627;EUR;25410;5,773;23,09;0
