VRSTAMAT;DAVEK_PROC;EM;IDENT;NAZIV;KOLICINA;A_KOLICINA;PORABA2;ID_DOK;TIP_CENE;SKLADIŠÈE;CENA;VREDNOST;PLAN_CENA
TRG;0;KOM;7770068;KLINASTI J. Z/10 Z59 1500LI 1525LW;1;0;0;5000004;EUR;22300;505,014;505,01;0
TRG;0;KOM;7770079;KLINASTI J. Z/10 Z47 1190LI 1200LW;2;0;0;5000004;EUR;22300;397,34625;794,69;0
TRG;0;KOM;7770118;KLINASTI J. Z/10 Z43 1/4 1100LI 1125LW;8;0;0;5000004;EUR;22300;381,9651;3055,72;0
TRG;0;KOS;7770123;KLINASTI J. A/13 A18 3/4 475LI 497LW;10;0;0;5000004;EUR;22300;166,21899;1662,19;0
TRG;0;KOM;7770141;KLINASTI J. A/13 A26 660LI 684LW;5;0;0;5000004;EUR;22300;176,24978;881,25;0
TRG;0;KOM;7770152;KLINASTI J. A/13 A29 735LI 767LW;2;0;0;5000004;EUR;22300;195,52367;391,05;0
TRG;0;KOM;7770160;KLINASTI J. A/13 A32 813LI 835LW;10;0;0;5000004;EUR;22300;424,87064;4248,71;0
TRG;0;KOM;7770184;KLINASTI J. A/13 A40 1016LI 1045LW;1;0;0;5000004;EUR;22300;273,37383;273,37;0
TRG;0;KOM;7770209;KLINASTI J. A/13 A47 1194LI 1220LW;5;0;0;5000004;EUR;22300;466,56258;2332,81;0
TRG;0;KOM;7770214;KLINASTI J. A/13 A48 1220LI 1244LW;2;0;0;5000004;EUR;22300;330,86336;661,73;0
TRG;0;KOS;7770229;KLINASTI J. A/13 A49 1/2 1257LI 1280LW;30;0;0;5000004;EUR;22300;359,79937;10793,98;0
TRG;0;KOM;7770239;KLINASTI J. A/13 A52 1/2 1335LI 1355LW;1;0;0;5000004;EUR;22300;386,60301;386,6;0
TRG;0;KOM;7770301;KLINASTI J. A/13 A66 1675LI 1700LW;1;0;0;5000004;EUR;22300;378,90912;378,91;0
TRG;0;KOM;7770310;KLINASTI J. A/13 A69 1750LI 1780LW;2;0;0;5000004;EUR;22300;368,71282;737,43;0
TRG;0;KOM;7770314;KLINASTI J. A/13 A70 1775LI 1800LW;1;0;0;5000004;EUR;22300;374,03972;374,04;0
TRG;0;KOM;7770318;KLINASTI J. A/13 A72 1825LI 1854LW;2;0;0;5000004;EUR;22300;432,42442;864,85;0
TRG;0;KOM;7770325;KLINASTI J. A/13 A74 1875LI 1905LW;6;0;0;5000004;EUR;22300;542,83775;3257,03;0
TRG;0;KOM;7770333;KLINASTI J. A/13 A78 1980LI 2000LW;1;0;0;5000004;EUR;22300;587,91408;587,91;0
TRG;0;KOM;7770343;KLINASTI J. A/13 A82 2083LI 2120LW;2;0;0;5000004;EUR;22300;540,74464;1081,49;0
TRG;0;KOM;7770354;KLINASTI J. A/13 A88 2240LI 2250LW;1;0;0;5000004;EUR;22300;825,454;825,45;0
TRG;0;KOS;7770367;KLINASTI J. A/13 A94 2388LI 2415LW;1;0;0;5000004;EUR;22300;886,979;886,98;0
TRG;0;KOS;7770374;KLINASTI J. A/13 A98 2490LI 2525LW;1;0;0;5000004;EUR;22300;912,61461;912,61;0
TRG;0;KOM;7770393;KLNASTI J. A/13 A124 3150LI 3175LW;5;0;0;5000004;EUR;22300;903,86787;4519,34;0
TRG;0;KOM;7770395;KLINASTI J. A/13 A128 3250LI 3283LW;1;0;0;5000004;EUR;22300;1276,635;1276,64;0
TRG;0;KOM;7772500;KLINASTI J. A/13 A53 1/2 1360LI 1385LW;10;0;0;5000004;EUR;22300;301,66586;3016,66;0
TRG;0;KOM;7773890;KLINASTI J. A/13 A108 2743LI 2775LW;2;0;0;5000004;EUR;22300;810,24496;1620,49;0
TRG;0;KOS;7776862;KLINASTI J. A/13 A45 1/4 1150LI 1180LW;2;0;0;5000004;EUR;22300;364,17573;728,35;0
TRG;0;M2;9903579;TR.TRAK EL 2-U10 FL;0,00424;0;0;5000004;EUR;22300;1,33962;0,01;0
TRG;0;M2;9903580;TR.TRAK NT4;0,004;0;0;5000004;EUR;22300;0,21;0;0
TRG;0;M2;9905452;TR.TRAK 2T12 U0-U-G10 FH;0,0019;0;0;5000004;EUR;22300;34925,36415;66,36;0
